Date,Description,Amount,Category
2024-01-04,Cashback,5.91,Other
2024-01-02,Electronics Store,28.53,Shopping
2024-01-31,Amusement Park,0.03,Entertainment
2024-01-30,Metro,109.14,Transport
2024-01-07,Myntra,0.61,Shopping
2024-01-26,Metro,30.99,Transport
2024-01-14,Water Bill,10.36,Bills
2024-01-22,Cafe Coffee Day,154.09,Food
2024-01-25,Metro,25.55,Transport
2024-01-26,Refund,52.98,Income
2024-01-09,Cafe Coffee Day,3.82,Food
2024-01-03,Cafe Coffee Day,278958.16,Food
2024-01-02,Groceries,15.99,Food
2024-01-12,Food Court,10.12,Food
2024-01-23,Bonus,2.12,Income
2024-01-13,Donation,65.13,Other
2024-01-07,Clothing Store,18.81,Shopping
2024-01-19,Internet Bill,57.82,Bills
2024-01-11,Interest Credit,54.98,Income
2024-01-25,Cab Fare,28.84,Transport
2024-01-10,Electronics Store,7.71,Shopping
2024-01-20,YouTube Premium,11.5,Entertainment
2024-01-17,Dominos,19.68,Food
2024-01-30,Petrol,410564.12,Transport
2024-01-27,Bus Ticket,29.19,Transport
2024-01-22,Big Bazaar,19.92,Food
2024-01-19,Clothing Store,0.59,Shopping
2024-01-09,Ola,10.77,Transport
2024-01-23,Food Court,39.75,Food
2024-01-25,Gift,16.83,Other
2024-01-19,Concert,21.52,Entertainment
2024-01-11,Myntra,34.87,Shopping
2024-01-25,Food Court,41.2,Food
2024-01-16,Water Bill,67.56,Bills
2024-01-01,Electricity Bill,4.65,Bills
2024-01-06,BookMyShow,19.53,Entertainment
2024-01-15,Refund,54.68,Income
2024-01-17,Pizza Hut,19.44,Food
2024-01-21,Cafe Coffee Day,0.93,Food
2024-01-23,Donation,44.05,Other
2024-01-14,Food Court,1.57,Food
2024-01-02,Cab Fare,14.96,Transport
2024-01-24,Uber,32.94,Transport
2024-01-01,Mobile Recharge,142.14,Bills
2024-01-30,Interest Credit,3.61,Income
2024-01-22,DTH Recharge,133613.37,Bills
2024-01-06,Myntra,58.15,Shopping
2024-01-16,Mobile Recharge,11.45,Bills
2024-01-23,Water Bill,2.16,Bills
2024-01-12,Bus Ticket,24.66,Transport
2024-01-08,Electricity Bill,13.91,Bills
2024-01-05,Gas Bill,14.16,Bills
2024-01-14,Refund,3.78,Income
2024-01-05,Amusement Park,11.79,Entertainment
2024-01-26,Movie,43.34,Entertainment
2024-01-26,Train Ticket,437151.35,Transport
2024-01-27,Food Court,6.82,Food
2024-01-19,Concert,33.39,Entertainment
2024-01-12,Lifestyle,70.16,Shopping
2024-01-26,Gift,0.62,Other
2024-01-18,Water Bill,5.83,Bills
2024-01-25,Internet Bill,82.28,Bills
2024-01-17,Movie,127.25,Entertainment
2024-01-03,Lottery,2.56,Other
2024-01-17,Dominos,20.36,Food
2024-01-28,Concert,55.93,Entertainment
2024-01-27,Interest Credit,164.61,Income
2024-01-21,Mobile Recharge,64.83,Bills
2024-01-18,Petrol,21.83,Transport
2024-01-06,Cashback,9.54,Other
2024-01-06,Lottery,11.52,Other
2024-01-25,Lifestyle,4.52,Shopping
2024-01-10,Mobile Recharge,86.41,Bills
2024-01-28,Ola,7.03,Transport
2024-01-28,Freelance Payment,51.27,Income
2024-01-06,Salary,46.77,Income
2024-01-04,DTH Recharge,0.93,Bills
2024-01-14,Flipkart,38.82,Shopping
2024-01-08,Miscellaneous,352866.87,Other
2024-01-04,Interest Credit,148.07,Income
2024-01-31,Petrol,8.74,Transport
2024-01-29,Swiggy,7.67,Food
2024-01-27,DTH Recharge,128.14,Bills
2024-01-15,Gas Bill,0.38,Bills
2024-01-02,Groceries,3.05,Food
2024-01-05,Groceries,167823.15,Food
2024-01-17,Lottery,20.2,Other
2024-01-04,DTH Recharge,21.15,Bills
2024-01-02,Salary,64.49,Income
2024-01-05,Bonus,109.45,Income
2024-01-02,Bonus,0.76,Income
2024-01-18,Flipkart,14.94,Shopping
2024-01-24,Petrol,5.47,Transport
2024-01-29,Cashback,2.13,Other
2024-01-21,Movie,19.76,Entertainment
2024-01-15,Bus Ticket,48.23,Transport
2024-01-03,Big Bazaar,30.06,Food
2024-01-21,Lifestyle,7.14,Shopping
2024-01-26,Water Bill,8.19,Bills
2024-01-26,Freelance Payment,10.86,Income
2024-01-26,Big Bazaar,9.3,Food
2024-01-15,Netflix,25.42,Entertainment
2024-01-19,Gift,24.81,Other
2024-01-13,Donation,116.38,Other
2024-01-07,Petrol,5.55,Transport
2024-01-17,Swiggy,3.24,Food
